"01-2023","Janeiro 2023",222981,588
"02-2023","Fevereiro 2023",222981,996
"03-2023","Março 2023",222981,1044
"04-2023","Abril 2023",222981,1116
"05-2023","Maio 2023",222981,1284
"06-2023","Junho 2023",222981,756
"01-2023","Janeiro 2023",222984,840
"02-2023","Fevereiro 2023",222984,2160
"03-2023","Março 2023",222984,1500
"04-2023","Abril 2023",222984,1728
"05-2023","Maio 2023",222984,2052
"06-2023","Junho 2023",222984,1452
"01-2023","Janeiro 2023",222985,6
"03-2023","Março 2023",222985,18
"04-2023","Abril 2023",222985,36
"05-2023","Maio 2023",222985,54
"06-2023","Junho 2023",222985,18
"01-2023","Janeiro 2023",222986,60
"02-2023","Fevereiro 2023",222986,48
"03-2023","Março 2023",222986,36
"04-2023","Abril 2023",222986,276
"05-2023","Maio 2023",222986,132
"06-2023","Junho 2023",222986,228
"01-2023","Janeiro 2023",222987,564
"02-2023","Fevereiro 2023",222987,1452
"03-2023","Março 2023",222987,1392
"04-2023","Abril 2023",222987,1200
"05-2023","Maio 2023",222987,1620
"06-2023","Junho 2023",222987,840
"01-2023","Janeiro 2023",222989,12
"02-2023","Fevereiro 2023",222989,12
"03-2023","Março 2023",222989,36
"04-2023","Abril 2023",222989,216
"05-2023","Maio 2023",222989,132
"06-2023","Junho 2023",222989,144
"01-2023","Janeiro 2023",222990,120
"02-2023","Fevereiro 2023",222990,264
"03-2023","Março 2023",222990,132
"04-2023","Abril 2023",222990,180
"05-2023","Maio 2023",222990,180
"06-2023","Junho 2023",222990,24
"01-2023","Janeiro 2023",222991,6
"03-2023","Março 2023",222991,6
"04-2023","Abril 2023",222991,24
"05-2023","Maio 2023",222991,6
"01-2023","Janeiro 2023",222992,12
"02-2023","Fevereiro 2023",222992,12
"05-2023","Maio 2023",222992,36
"01-2023","Janeiro 2023",222993,36
"02-2023","Fevereiro 2023",222993,216
"03-2023","Março 2023",222993,72
"04-2023","Abril 2023",222993,120
"05-2023","Maio 2023",222993,180
"06-2023","Junho 2023",222993,36
"01-2023","Janeiro 2023",222995,12
"02-2023","Fevereiro 2023",222995,12
"03-2023","Março 2023",222995,36
"05-2023","Maio 2023",222995,24
"01-2023","Janeiro 2023",222998,12
"03-2023","Março 2023",222998,12
"01-2023","Janeiro 2023",223005,96
"02-2023","Fevereiro 2023",223005,168
"03-2023","Março 2023",223005,108
"04-2023","Abril 2023",223005,240
"05-2023","Maio 2023",223005,252
"06-2023","Junho 2023",223005,96
"01-2023","Janeiro 2023",223008,48
"02-2023","Fevereiro 2023",223008,108
"03-2023","Março 2023",223008,96
"04-2023","Abril 2023",223008,204
"05-2023","Maio 2023",223008,156
"06-2023","Junho 2023",223008,156
"01-2023","Janeiro 2023",223011,108
"02-2023","Fevereiro 2023",223011,144
"03-2023","Março 2023",223011,108
"04-2023","Abril 2023",223011,180
"05-2023","Maio 2023",223011,156
"06-2023","Junho 2023",223011,84
"01-2023","Janeiro 2023",223013,12
"04-2023","Abril 2023",223013,24
"05-2023","Maio 2023",223013,12
"06-2023","Junho 2023",223013,12
"01-2023","Janeiro 2023",223014,84
"02-2023","Fevereiro 2023",223014,120
"03-2023","Março 2023",223014,72
"04-2023","Abril 2023",223014,192
"05-2023","Maio 2023",223014,144
"06-2023","Junho 2023",223014,96
"01-2023","Janeiro 2023",223017,672
"02-2023","Fevereiro 2023",223017,564
"03-2023","Março 2023",223017,456
"04-2023","Abril 2023",223017,432
"05-2023","Maio 2023",223017,300
"06-2023","Junho 2023",223017,192
"01-2023","Janeiro 2023",223018,300
"02-2023","Fevereiro 2023",223018,312
"03-2023","Março 2023",223018,192
"04-2023","Abril 2023",223018,300
"05-2023","Maio 2023",223018,156
"06-2023","Junho 2023",223018,84
"01-2023","Janeiro 2023",223019,24
"02-2023","Fevereiro 2023",223019,216
"03-2023","Março 2023",223019,156
"04-2023","Abril 2023",223019,204
"05-2023","Maio 2023",223019,84
"06-2023","Junho 2023",223019,24
"01-2023","Janeiro 2023",223020,72
"02-2023","Fevereiro 2023",223020,216
"03-2023","Março 2023",223020,192
"04-2023","Abril 2023",223020,72
"05-2023","Maio 2023",223020,96
"06-2023","Junho 2023",223020,48
"01-2023","Janeiro 2023",223021,312
"02-2023","Fevereiro 2023",223021,264
"03-2023","Março 2023",223021,180
"04-2023","Abril 2023",223021,324
"05-2023","Maio 2023",223021,240
"06-2023","Junho 2023",223021,108
