"05-2023","Maio 2023",244019,192
"07-2023","Julho 2023",244019,192
"09-2023","Setembro 2023",244019,192
"08-2023","Agosto 2023",244019,192
"10-2023","Outubro 2023",244019,192
"05-2023","Maio 2023",244020,600
"09-2023","Setembro 2023",244020,696
"10-2023","Outubro 2023",244020,696
"05-2023","Maio 2023",244021,600
"09-2023","Setembro 2023",244021,696
"10-2023","Outubro 2023",244021,696
"05-2023","Maio 2023",244024,96
"09-2023","Setembro 2023",244024,108
"10-2023","Outubro 2023",244024,96
"05-2023","Maio 2023",244025,96
"10-2023","Outubro 2023",244025,96
"09-2023","Setembro 2023",244025,108
"05-2023","Maio 2023",244026,96
"10-2023","Outubro 2023",244026,96
"09-2023","Setembro 2023",244026,108
"06-2023","Junho 2023",244027,1020
"07-2023","Julho 2023",244027,996
"10-2023","Outubro 2023",244027,996
"08-2023","Agosto 2023",244027,996
"05-2023","Maio 2023",244027,996
"09-2023","Setembro 2023",244027,996
"06-2023","Junho 2023",244028,96
"07-2023","Julho 2023",244028,72
"10-2023","Outubro 2023",244028,60
"08-2023","Agosto 2023",244028,60
"05-2023","Maio 2023",244028,60
"09-2023","Setembro 2023",244028,60
"06-2023","Junho 2023",244030,96
"07-2023","Julho 2023",244030,60
"10-2023","Outubro 2023",244030,60
"08-2023","Agosto 2023",244030,60
"05-2023","Maio 2023",244030,60
"09-2023","Setembro 2023",244030,60
"06-2023","Junho 2023",244031,120
"07-2023","Julho 2023",244031,96
"09-2023","Setembro 2023",244031,96
"08-2023","Agosto 2023",244031,96
"05-2023","Maio 2023",244031,96
"10-2023","Outubro 2023",244031,96
"06-2023","Junho 2023",244032,120
"07-2023","Julho 2023",244032,96
"10-2023","Outubro 2023",244032,96
"08-2023","Agosto 2023",244032,96
"05-2023","Maio 2023",244032,96
"09-2023","Setembro 2023",244032,96
"05-2023","Maio 2023",244034,636
"07-2023","Julho 2023",244034,648
"09-2023","Setembro 2023",244034,636
"08-2023","Agosto 2023",244034,648
"10-2023","Outubro 2023",244034,636
"05-2023","Maio 2023",244035,636
"07-2023","Julho 2023",244035,648
"09-2023","Setembro 2023",244035,636
"10-2023","Outubro 2023",244035,636
"08-2023","Agosto 2023",244035,636
"05-2023","Maio 2023",244037,96
"08-2023","Agosto 2023",244037,492
"09-2023","Setembro 2023",244037,492
"10-2023","Outubro 2023",244037,492
"05-2023","Maio 2023",244038,96
"08-2023","Agosto 2023",244038,492
"10-2023","Outubro 2023",244038,492
"09-2023","Setembro 2023",244038,492
"05-2023","Maio 2023",244039,96
"08-2023","Agosto 2023",244039,492
"09-2023","Setembro 2023",244039,492
"10-2023","Outubro 2023",244039,96
"05-2023","Maio 2023",244040,72
"07-2023","Julho 2023",244040,96
"09-2023","Setembro 2023",244040,72
"08-2023","Agosto 2023",244040,96
"10-2023","Outubro 2023",244040,72
"05-2023","Maio 2023",244041,72
"07-2023","Julho 2023",244041,96
"10-2023","Outubro 2023",244041,72
"08-2023","Agosto 2023",244041,96
"09-2023","Setembro 2023",244041,72
"06-2023","Junho 2023",244043,48
"07-2023","Julho 2023",244043,24
"10-2023","Outubro 2023",244043,24
"08-2023","Agosto 2023",244043,24
"05-2023","Maio 2023",244043,24
"09-2023","Setembro 2023",244043,24
"06-2023","Junho 2023",244045,36
"07-2023","Julho 2023",244045,24
"10-2023","Outubro 2023",244045,24
"08-2023","Agosto 2023",244045,24
"05-2023","Maio 2023",244045,24
"09-2023","Setembro 2023",244045,24
"06-2023","Junho 2023",244046,72
"07-2023","Julho 2023",244046,36
"10-2023","Outubro 2023",244046,24
"08-2023","Agosto 2023",244046,24
"05-2023","Maio 2023",244046,24
"09-2023","Setembro 2023",244046,24
"06-2023","Junho 2023",244048,72
"07-2023","Julho 2023",244048,24
"10-2023","Outubro 2023",244048,24
"08-2023","Agosto 2023",244048,24
"05-2023","Maio 2023",244048,24
"09-2023","Setembro 2023",244048,24
"06-2023","Junho 2023",244049,120
"07-2023","Julho 2023",244049,96
"10-2023","Outubro 2023",244049,96
"08-2023","Agosto 2023",244049,96
"05-2023","Maio 2023",244049,96
"09-2023","Setembro 2023",244049,96
"06-2023","Junho 2023",244050,120
"07-2023","Julho 2023",244050,96
"10-2023","Outubro 2023",244050,96
"08-2023","Agosto 2023",244050,96
"05-2023","Maio 2023",244050,96
"09-2023","Setembro 2023",244050,96
"06-2023","Junho 2023",244051,96
"07-2023","Julho 2023",244051,96
"09-2023","Setembro 2023",244051,48
"08-2023","Agosto 2023",244051,96
"05-2023","Maio 2023",244051,36
"10-2023","Outubro 2023",244051,36
"06-2023","Junho 2023",244053,96
"07-2023","Julho 2023",244053,96
"09-2023","Setembro 2023",244053,48
"08-2023","Agosto 2023",244053,96
"05-2023","Maio 2023",244053,12
"10-2023","Outubro 2023",244053,36
"06-2023","Junho 2023",244054,1020
"07-2023","Julho 2023",244054,996
"09-2023","Setembro 2023",244054,996
"08-2023","Agosto 2023",244054,996
"05-2023","Maio 2023",244054,996
"10-2023","Outubro 2023",244054,996
"06-2023","Junho 2023",244055,120
"07-2023","Julho 2023",244055,96
"09-2023","Setembro 2023",244055,96
"08-2023","Agosto 2023",244055,96
"05-2023","Maio 2023",244055,96
"10-2023","Outubro 2023",244055,96
"06-2023","Junho 2023",244056,120
"07-2023","Julho 2023",244056,96
"09-2023","Setembro 2023",244056,96
"08-2023","Agosto 2023",244056,96
"05-2023","Maio 2023",244056,96
"10-2023","Outubro 2023",244056,96
"06-2023","Junho 2023",244058,24
"07-2023","Julho 2023",244058,624
"10-2023","Outubro 2023",244058,624
"05-2023","Maio 2023",244058,624
"08-2023","Agosto 2023",244058,624
"09-2023","Setembro 2023",244058,624
"06-2023","Junho 2023",244059,624
"07-2023","Julho 2023",244059,624
"09-2023","Setembro 2023",244059,624
"05-2023","Maio 2023",244059,624
"08-2023","Agosto 2023",244059,624
"10-2023","Outubro 2023",244059,624
"06-2023","Junho 2023",244060,624
"07-2023","Julho 2023",244060,624
"09-2023","Setembro 2023",244060,624
"05-2023","Maio 2023",244060,624
"08-2023","Agosto 2023",244060,624
"10-2023","Outubro 2023",244060,624
"06-2023","Junho 2023",244061,516
"07-2023","Julho 2023",244061,492
"10-2023","Outubro 2023",244061,492
"08-2023","Agosto 2023",244061,492
"05-2023","Maio 2023",244061,492
"09-2023","Setembro 2023",244061,492
"05-2023","Maio 2023",244064,492
"08-2023","Agosto 2023",244064,492
"10-2023","Outubro 2023",244064,492
"09-2023","Setembro 2023",244064,492
"05-2023","Maio 2023",244065,492
"08-2023","Agosto 2023",244065,492
"09-2023","Setembro 2023",244065,492
