"02-2023","Fevereiro 2023",221004,276
"01-2023","Janeiro 2023",221004,300
"04-2023","Abril 2023",221004,276
"03-2023","Março 2023",221004,240
"07-2022","Julho 2022",221004,240
"02-2022","Fevereiro 2022",200611,48
"09-2021","Setembro 2021",181831,55
"02-2022","Fevereiro 2022",200613,84
"03-2021","Março 2021",140318,24
"05-2021","Maio 2021",140318,24
"04-2021","Abril 2021",140318,48
"10-2021","Outubro 2021",190405,1
"11-2021","Novembro 2021",190405,4
"04-2018","Abril 2018",73988,60
"05-2018","Maio 2018",73988,36
"11-2019","Novembro 2019",99665,3600
"12-2019","Dezembro 2019",99665,3600
"04-2023","Abril 2023",220643,20000
"07-2022","Julho 2022",220643,20000
"04-2023","Abril 2023",220644,20012
"07-2022","Julho 2022",220644,20000
"03-2023","Março 2023",220645,10024
"07-2022","Julho 2022",220645,20000
"01-2022","Janeiro 2022",166001,10018
"02-2022","Fevereiro 2022",166001,30006
"03-2022","Março 2022",173626,10012
"05-2022","Maio 2022",173626,10006
"04-2022","Abril 2022",173626,10006
"04-2022","Abril 2022",175181,10330
"05-2022","Maio 2022",175181,10054
"06-2022","Junho 2022",175181,60
"04-2022","Abril 2022",175184,10306
"05-2022","Maio 2022",175184,10024
"06-2022","Junho 2022",175184,66
"04-2022","Abril 2022",175185,10156
"05-2022","Maio 2022",175185,10000
"06-2022","Junho 2022",175185,42
"04-2022","Abril 2022",175186,11020
"05-2022","Maio 2022",175186,10000
"06-2022","Junho 2022",175186,270
"04-2022","Abril 2022",175187,10096
"05-2022","Maio 2022",175187,10000
"06-2022","Junho 2022",175187,30
"04-2022","Abril 2022",175195,10102
"05-2022","Maio 2022",175195,10000
"06-2022","Junho 2022",175195,48
"04-2022","Abril 2022",175196,10132
"05-2022","Maio 2022",175196,10000
"06-2022","Junho 2022",175196,66
"04-2022","Abril 2022",175183,10072
"05-2022","Maio 2022",175183,10000
"06-2022","Junho 2022",175183,12
"04-2022","Abril 2022",175433,10270
"05-2022","Maio 2022",175433,10096
"08-2021","Agosto 2021",151491,288
"07-2021","Julho 2021",151491,54
"06-2021","Junho 2021",151491,144
"12-2021","Dezembro 2021",165992,20144
"02-2022","Fevereiro 2022",165992,30120
"01-2022","Janeiro 2022",165992,10030
"12-2021","Dezembro 2021",167169,20204
"02-2022","Fevereiro 2022",167169,30102
"01-2022","Janeiro 2022",167169,10018
"12-2021","Dezembro 2021",167170,20174
"02-2022","Fevereiro 2022",167170,30120
"01-2022","Janeiro 2022",167170,10024
"03-2022","Março 2022",173618,10042
