"07-2019","Julho 2019",96513,48
"06-2021","Junho 2021",144456,180
"01-2022","Janeiro 2022",168647,6
"02-2022","Fevereiro 2022",168647,18
"01-2022","Janeiro 2022",168732,12
"01-2022","Janeiro 2022",168878,12
"02-2022","Fevereiro 2022",168878,12
"01-2022","Janeiro 2022",168975,12
"01-2022","Janeiro 2022",169016,96
"01-2022","Janeiro 2022",169017,48
"01-2022","Janeiro 2022",169438,78
"03-2022","Março 2022",169438,30
"01-2022","Janeiro 2022",170000,12
"01-2022","Janeiro 2022",170329,72
"01-2022","Janeiro 2022",170363,12
"02-2022","Fevereiro 2022",170363,12
"01-2022","Janeiro 2022",170449,72
"03-2022","Março 2022",170449,12
"01-2022","Janeiro 2022",170452,12
"01-2022","Janeiro 2022",170453,60
"03-2022","Março 2022",170453,12
"01-2022","Janeiro 2022",170454,54
"02-2022","Fevereiro 2022",170454,24
"03-2022","Março 2022",170454,30
"01-2022","Janeiro 2022",170455,24
"01-2022","Janeiro 2022",170745,36
"02-2022","Fevereiro 2022",170745,12
"01-2022","Janeiro 2022",170746,12
"02-2022","Fevereiro 2022",170746,6
"01-2022","Janeiro 2022",170748,36
"01-2022","Janeiro 2022",170749,36
"03-2022","Março 2022",170749,18
"01-2022","Janeiro 2022",170884,12
"01-2022","Janeiro 2022",170930,18
"01-2022","Janeiro 2022",171385,12
"01-2022","Janeiro 2022",171462,12
"01-2022","Janeiro 2022",171467,48
"01-2022","Janeiro 2022",171468,6
"02-2022","Fevereiro 2022",171468,12
"01-2022","Janeiro 2022",171469,36
"02-2022","Fevereiro 2022",171469,24
"01-2022","Janeiro 2022",171687,6
"02-2022","Fevereiro 2022",171687,18
"03-2022","Março 2022",171687,6
"01-2022","Janeiro 2022",171747,6
"01-2022","Janeiro 2022",171828,6
"01-2022","Janeiro 2022",171829,6
"03-2022","Março 2022",171829,162
"01-2022","Janeiro 2022",171830,6
"03-2022","Março 2022",171830,60
"01-2022","Janeiro 2022",172122,24
"03-2022","Março 2022",172122,30
"01-2022","Janeiro 2022",172123,12
"02-2022","Fevereiro 2022",172123,42
"03-2022","Março 2022",172123,36
"01-2022","Janeiro 2022",172398,84
"01-2022","Janeiro 2022",172399,12
"01-2022","Janeiro 2022",172474,48
"01-2022","Janeiro 2022",172475,24
"01-2022","Janeiro 2022",172476,42
"01-2022","Janeiro 2022",172497,6
"01-2022","Janeiro 2022",172528,6
"02-2022","Fevereiro 2022",168669,180
"02-2022","Fevereiro 2022",168737,12
"03-2022","Março 2022",168737,12
"02-2022","Fevereiro 2022",169080,24
"02-2022","Fevereiro 2022",169105,36
"02-2022","Fevereiro 2022",169106,66
"02-2022","Fevereiro 2022",169107,24
"02-2022","Fevereiro 2022",169114,36
"03-2022","Março 2022",169114,12
"02-2022","Fevereiro 2022",169539,36
"02-2022","Fevereiro 2022",169879,6
"02-2022","Fevereiro 2022",169897,6
"02-2022","Fevereiro 2022",170075,12
"03-2022","Março 2022",170075,6
"02-2022","Fevereiro 2022",170191,6
"02-2022","Fevereiro 2022",170451,36
"03-2022","Março 2022",170451,12
"02-2022","Fevereiro 2022",170457,36
"03-2022","Março 2022",170457,48
"02-2022","Fevereiro 2022",170458,120
"03-2022","Março 2022",170458,54
"02-2022","Fevereiro 2022",170459,48
"03-2022","Março 2022",170459,12
"02-2022","Fevereiro 2022",170600,12
"02-2022","Fevereiro 2022",170645,12
"03-2022","Março 2022",170645,12
"02-2022","Fevereiro 2022",170648,6
"02-2022","Fevereiro 2022",170672,54
"03-2022","Março 2022",170672,12
"02-2022","Fevereiro 2022",170673,42
"03-2022","Março 2022",170673,24
"02-2022","Fevereiro 2022",171080,6
"02-2022","Fevereiro 2022",171163,12
"02-2022","Fevereiro 2022",171164,24
"02-2022","Fevereiro 2022",171407,12
"02-2022","Fevereiro 2022",171530,42
"02-2022","Fevereiro 2022",171531,12
"02-2022","Fevereiro 2022",171549,6
"02-2022","Fevereiro 2022",171711,6
"02-2022","Fevereiro 2022",172185,36
"02-2022","Fevereiro 2022",172506,6
"03-2022","Março 2022",168699,12
"03-2022","Março 2022",168745,54
"03-2022","Março 2022",169023,24
"03-2022","Março 2022",169122,12
"03-2022","Março 2022",169229,24
"03-2022","Março 2022",169762,54
"03-2022","Março 2022",169794,30
"03-2022","Março 2022",170070,84
"03-2022","Março 2022",170257,108
"03-2022","Março 2022",170290,6
"03-2022","Março 2022",170357,108
"03-2022","Março 2022",170359,24
"03-2022","Março 2022",170362,54
"03-2022","Março 2022",170421,12
"03-2022","Março 2022",170422,12
"03-2022","Março 2022",170601,6
"03-2022","Março 2022",170642,6
"03-2022","Março 2022",170646,54
"03-2022","Março 2022",170671,6
"03-2022","Março 2022",170711,18
"03-2022","Março 2022",170766,12
"03-2022","Março 2022",170824,24
"03-2022","Março 2022",170882,12
"03-2022","Março 2022",170896,12
"03-2022","Março 2022",170897,24
"03-2022","Março 2022",170898,12
"03-2022","Março 2022",170918,126
"03-2022","Março 2022",170991,24
"03-2022","Março 2022",171081,36
"03-2022","Março 2022",171107,48
"03-2022","Março 2022",171122,6
"03-2022","Março 2022",171131,12
"03-2022","Março 2022",171145,36
"03-2022","Março 2022",171162,24
"03-2022","Março 2022",171165,36
"03-2022","Março 2022",171360,6
"03-2022","Março 2022",171417,54
"03-2022","Março 2022",171827,6
"03-2022","Março 2022",172120,6
"03-2022","Março 2022",172238,72
"03-2022","Março 2022",172314,6
"03-2022","Março 2022",172387,12
"03-2022","Março 2022",172473,6
"03-2022","Março 2022",172672,54
"03-2022","Março 2022",172687,12
"03-2022","Março 2022",172688,54
"07-2022","Julho 2022",172688,54
"03-2022","Março 2022",172693,570
"03-2022","Março 2022",172819,6
"04-2022","Abril 2022",179429,2
"06-2022","Junho 2022",179429,72
"04-2022","Abril 2022",179430,7
"06-2022","Junho 2022",179430,24
"04-2022","Abril 2022",169342,180
"04-2022","Abril 2022",169343,264
"04-2022","Abril 2022",176325,306
"05-2022","Maio 2022",176325,114
"06-2022","Junho 2022",176325,72
"04-2022","Abril 2022",176328,396
"05-2022","Maio 2022",176328,144
"06-2022","Junho 2022",176328,30
"04-2022","Abril 2022",176331,132
"05-2022","Maio 2022",176331,90
"06-2022","Junho 2022",176331,54
"04-2022","Abril 2022",176334,132
"05-2022","Maio 2022",176334,54
"06-2022","Junho 2022",176334,42
"04-2022","Abril 2022",176337,42
"05-2022","Maio 2022",176337,6
"06-2022","Junho 2022",176337,30
"04-2022","Abril 2022",176340,42
"05-2022","Maio 2022",176340,24
"06-2022","Junho 2022",176340,6
"04-2022","Abril 2022",176346,30
"05-2022","Maio 2022",176346,18
"06-2022","Junho 2022",176346,6
"04-2022","Abril 2022",176353,18
"05-2022","Maio 2022",176353,12
"06-2022","Junho 2022",176353,6
"04-2022","Abril 2022",176367,78
"05-2022","Maio 2022",176367,36
"06-2022","Junho 2022",176367,36
"04-2022","Abril 2022",176371,42
"05-2022","Maio 2022",176371,42
"06-2022","Junho 2022",176371,18
"04-2022","Abril 2022",176375,102
"05-2022","Maio 2022",176375,30
"06-2022","Junho 2022",176375,18
"04-2022","Abril 2022",176379,66
"05-2022","Maio 2022",176379,42
"06-2022","Junho 2022",176379,18
"04-2022","Abril 2022",176383,42
"05-2022","Maio 2022",176383,12
"04-2022","Abril 2022",176387,6
"05-2022","Maio 2022",176387,6
"06-2022","Junho 2022",176387,6
"04-2022","Abril 2022",176396,1206
"05-2022","Maio 2022",176396,348
"06-2022","Junho 2022",176396,150
"04-2022","Abril 2022",176399,348
"05-2022","Maio 2022",176399,66
"06-2022","Junho 2022",176399,60
"04-2022","Abril 2022",176402,612
"05-2022","Maio 2022",176402,156
"06-2022","Junho 2022",176402,84
"04-2022","Abril 2022",176405,546
"05-2022","Maio 2022",176405,234
"06-2022","Junho 2022",176405,108
"04-2022","Abril 2022",176413,474
"05-2022","Maio 2022",176413,246
"06-2022","Junho 2022",176413,60
"04-2022","Abril 2022",176419,1278
"05-2022","Maio 2022",176419,420
"06-2022","Junho 2022",176419,180
"04-2022","Abril 2022",176422,810
"05-2022","Maio 2022",176422,312
"06-2022","Junho 2022",176422,132
"04-2022","Abril 2022",176425,1050
"05-2022","Maio 2022",176425,438
"06-2022","Junho 2022",176425,150
"04-2022","Abril 2022",176429,864
"05-2022","Maio 2022",176429,300
"06-2022","Junho 2022",176429,144
"04-2022","Abril 2022",176432,888
"05-2022","Maio 2022",176432,294
"06-2022","Junho 2022",176432,168
"04-2022","Abril 2022",176435,600
"05-2022","Maio 2022",176435,228
"06-2022","Junho 2022",176435,96
"04-2022","Abril 2022",176438,720
"05-2022","Maio 2022",176438,282
"06-2022","Junho 2022",176438,96
"04-2022","Abril 2022",176441,540
"05-2022","Maio 2022",176441,186
"06-2022","Junho 2022",176441,120
"04-2022","Abril 2022",176448,564
"05-2022","Maio 2022",176448,204
"06-2022","Junho 2022",176448,90
"04-2022","Abril 2022",176451,222
"05-2022","Maio 2022",176451,132
"06-2022","Junho 2022",176451,42
"04-2022","Abril 2022",176540,798
"05-2022","Maio 2022",176540,192
"06-2022","Junho 2022",176540,78
"04-2022","Abril 2022",176543,660
"05-2022","Maio 2022",176543,216
"06-2022","Junho 2022",176543,48
"04-2022","Abril 2022",176547,1812
"05-2022","Maio 2022",176547,444
"06-2022","Junho 2022",176547,120
"04-2022","Abril 2022",176551,510
"05-2022","Maio 2022",176551,150
"06-2022","Junho 2022",176551,48
"04-2022","Abril 2022",176555,762
"05-2022","Maio 2022",176555,234
"06-2022","Junho 2022",176555,66
"04-2022","Abril 2022",176559,486
"05-2022","Maio 2022",176559,198
"06-2022","Junho 2022",176559,30
"04-2022","Abril 2022",176563,96
"05-2022","Maio 2022",176563,72
"06-2022","Junho 2022",176563,48
"04-2022","Abril 2022",176566,906
"05-2022","Maio 2022",176566,228
"06-2022","Junho 2022",176566,66
"04-2022","Abril 2022",176569,534
"05-2022","Maio 2022",176569,144
"06-2022","Junho 2022",176569,84
"04-2022","Abril 2022",176573,1284
"05-2022","Maio 2022",176573,378
"06-2022","Junho 2022",176573,96
"04-2022","Abril 2022",176576,798
"05-2022","Maio 2022",176576,258
"06-2022","Junho 2022",176576,48
"04-2022","Abril 2022",176580,372
"05-2022","Maio 2022",176580,36
"06-2022","Junho 2022",176580,24
"04-2022","Abril 2022",176584,48
"05-2022","Maio 2022",176584,36
"04-2022","Abril 2022",176588,12
"05-2022","Maio 2022",176588,18
"06-2022","Junho 2022",176588,12
"04-2022","Abril 2022",176592,96
"05-2022","Maio 2022",176592,6
"06-2022","Junho 2022",176592,30
"07-2022","Julho 2022",176596,42
"05-2022","Maio 2022",176596,6
"06-2022","Junho 2022",176596,6
"04-2022","Abril 2022",176600,24
"05-2022","Maio 2022",176600,6
"06-2022","Junho 2022",176600,12
"04-2022","Abril 2022",176604,36
"05-2022","Maio 2022",176604,6
"06-2022","Junho 2022",176604,12
"04-2022","Abril 2022",176612,18
"04-2022","Abril 2022",176616,558
"05-2022","Maio 2022",176616,78
"06-2022","Junho 2022",176616,18
"04-2022","Abril 2022",176620,222
"05-2022","Maio 2022",176620,90
"06-2022","Junho 2022",176620,12
"04-2022","Abril 2022",176624,120
"05-2022","Maio 2022",176624,126
"06-2022","Junho 2022",176624,30
"04-2022","Abril 2022",176628,102
"05-2022","Maio 2022",176628,60
"06-2022","Junho 2022",176628,6
"04-2022","Abril 2022",176632,234
"05-2022","Maio 2022",176632,78
"06-2022","Junho 2022",176632,24
"04-2022","Abril 2022",176636,36
"05-2022","Maio 2022",176636,30
"06-2022","Junho 2022",176636,12
